Rut;Nombre;Direccion;Direccion2;Ciudad;Pais;Contacto;Contacto2;Fax;Telefono
36002903-4;BEL SHOSTKA UKRAINE PJSC;Rodyny Kryvonosiv str., 27-A UA-41103 SHOSTKA;;SHOSTKA;Ukraine;;;;
36003200-0;FOSTER CLARK PRODUCTS LIMITED;UB 50 INDUSTRIAL ESTATE, SAN GWANN SGN 3000, MALTA EU;;SAN GWANN;Malta;Daphne;;;
36003501-8;FMC BIOPOLYMER A/S;HAVNEGATA Nº 59 3040;;;USA;;;;
36003601-4;KERRY INGREDIENTS & FLAVOURS LTD;PO BOX 34 KILMALLOCK ROAD - CHARLEVILLE;;CO CORK;Ireland;;;;
36003602-2;HUIJBREGTS GROEP B.A;Vossenbeemd 107 Helmond;;;Netherlands;Mrs. Silvia Serra;;;310492596300
36003603-0;FRIESLAND CAMPINA NEDERLAND B.V;F.a.o FSSC SPL, Stationsplein 4 Postal Code 3818 LE AMERSFOORT;;LE AMERSFOORT;Netherlands;SVETLANA;;;
36003604-9;CREATEX BV;;;;Netherlands;;;;
36003605-7;Roumi Kunst Instituut;Alkmaardermeer 41 ,3068KL, Rotterdam;;Rotterdam;Netherlands;Malik;;;+905337420285
36003606-5;Vaess;Munsterstraat 22, 7418 EV Deventer;;EV Deventer;Netherlands;;;;
36003701-0;ABAWA sp. z.o.o.;UL. IGNACEGO DASZYNSKIEGO 4;;05-250 RADZYMIN;Poland;Pavel Getman;;;48505677499
36003702-9;OQEMA Sp. zo.o.;ul. Leczycka 3a 95-035 Ozorków;;Ozorków;Poland;Pawel;;;
36003703-7;AXO Daniel Baldyga;18-421 PIATNICA, JEZIORKO, ul. Dluga 10, Polonia;;JEZIORKO, ul. Dluga 10;Poland;Mariusz;;;+48 539 968 036
36003704-5;Bel Polska Sp. o.o.;06-330 Chorzele,  ul. Grunwaldzka 97, Poland;;Chorzele;Poland;Gérald;;;
36003705-3;VAESS Agersol Sp. z o.o.;"Ul. Szkolna 15, Kedzierzyn-Kozle; Opolskie, Poland";;Opolskie;Poland;Giel;;;
36003801-7;FORMULAB ADITIVOS ALIMENTARES LDA;Rua de Recarei, 860 Codigo Postal 4465-727;;Leca do Balio;Portugal;;;;351229445090
36003802-5;PROAROMATICA AROMAS ALIMENTARES LDA;Rua De Sao Paulo, 5 - Bairro da Figueira - 2695-002-BOBADELA-LRS Lisboa Portugal;;Lisboa;Portugal;Ana;;;
36003901-3;IFF N&H Norway AS;Industrivejen 33 Sandvika 1337 0219 Berum;;0219 Berum;Norway;;;;441655333053
36003902-1;PREMIER FOODS GROUP SERVICES LTD.;PO BOX 4349,ACCOUNTS PAYABLE;;MANCHESTER;United Kingdom;;;;0044 8456044684
36003903-K;TATE AND LYLE FOOD SYSTEMS;MOLD BUSINESS PARK, MAES GWERN;;;United Kingdom;;;;
36003904-8;Mars Chocolate UK;Dundee Road SL1 4JX;;;United Kingdom;Paula Macías;;;
36003905-6;KERRY INGREDIENTS (UK) LTD;EQUINOX SOUTH GREAT PARK ROAD BRADLEY STOKE BRISTOL BS32 4QL UNITED KINGDOM;;SOUTH GREAT PARK ROAD BRADLEY STOKE BRISTOL;United Kingdom;Miss Vicki Groom;;;
36003906-4;Dairy Partners Limited;OLDENDS LANE STONEHOUSE GL10 3RL, GLOUCESTERSHIRE UK;;Stonehouse;United Kingdom;Pete Brown;;;+44 (09 1453 828890
36003907-2;Reckitt Benckiser Healthcare (UK) Ltd;PO Box 531, Hull HU9 9HP Tel: +44 (0) 800 5003028;;;United Kingdom;Laura;;44-1482 582-749;44-1482-326-151
36003907-2;Reckitt Benckiser Healthcare (UK) Ltd;PO Box 531, Hull HU9 9HP Tel: +44 (0) 800 5003028;;;United Kingdom;Srinivas;;44-1482 582-749;44-1482-326-151
36003908-0;Ascot International (1996) Ltd;Ascot House, Welcroft Street, Stockport, Cheshire, SK1 3DF, UK;;Stockport, Cheshire, SK1 3DF, UK;United Kingdom;Harriet;;;
36003909-9;ORNUA;Spinneyfields Farm, Worleston, Nantwich, Cheshire, CW5 6DN;;Cheshire;United Kingdom;Joanne;;;
36003910-2;Cosmetic Warriors;Unit 22-23 Dolphin Quays, The Quay, Poole, BH15 1HU;;The Quay;United Kingdom;Abi;;;
36003911-0;Andros UK Ltd;Lullington Lane , Oldford , Frome , Somerset, BA11 2NQ;;Lullington Lane;United Kingdom;Julien;;;
36003912-9;Anaiah Healthcare, Ltd.;Level 17 Dashwood House, 69 Old Broast Street, London EC2M 1QS;;Broadstairs;United Kingdom;Ryan;;;
36003913-7;LUSH Manufacturing;Lush Manufacturing Ltd, Unit A2 at Fleets Corner, Nuffield Ind. Estate  Poole, Dorset, BH17 0HL;;Poole, Dorset;United Kingdom;;;;
36003914-5;Notpla Limited;Unit 8B Queen's Yard, E9 5EN, London;;London;United Kingdom;Ayla;;;
36003915-3;International N&H Manufacturing UK Limited;C/O, Duddery Hill, Haverhill Suffolk, England, CB9 8LG;;Haverhill Suffolk;United Kingdom;Robert;;;
36003916-1;Hothouse Beauty Ltd T/A Cosmarida;Unit 4 Provincial Park, Nether Lane, Ecclesfield, South Yorkshire, S35 9ZX;;Nether Lane, Ecclesfield, South Yorkshire;United Kingdom;Mark;;;
36004000-3;Azelis Czech republic s.r.o.;Evropská 2588/33A, 160 00 Praha 6;;Czech Republic;Czech Republic;Petr;;;+420 606 706 986
36004001-1;TRUMF International s.r.o.;Cejl 504/38, Zábrdovice;;Brno;Czech Republic;Lenka;;;.+420 583 036 730
36004002-K;BEL Syry Cesko a.s.;Praská 218, 675 26  eletava;;Zeletava;Czech Republic;Jitka;;;+420 778 705 240
36004100-K;Supremia Group Romania;Calea Ciugudului Street, No.7, 510382 Alba Lulia, Alba Country;;;Romania;;;;
36004101-8;S.C. ROMPAK S.R.L.;Str. Gradinitei nr. 1C, 705200 Pascani, jud. Iasi, Romania;;Jud.LAsi;Romania;Dan David;;;
36004200-6;ZAO Company MILORD;Godovikova str., 9, bld.1, Moscow, 129085;;;Russian Fed.;Valentina Kryukova;;;74992322001
36004201-4;Soyuzopttorg-Region Ltd.;195248, St. Petersburg Irinovskiy av., 2, lit. L., room 119/e;;Saint Petersburg;Russian Fed.;Alexey;;;
36004202-2;MILORADA;;;;Russian Fed.;;;;
36004501-3;KG FOOD PARTNER TECHN AB;FLAKVAGEN, STILLERYD SE- 374 93 KARLSHAM, SWEDEN;;;Sweden;;;;
36004502-1;BARRY CALLEBAUT SOURCING AG;Hardturmstrasse 181, 8005 ZÜRICH, SWITZERLAND;;ZÜRICH;Switzerland;Rok;;;
36004600-1;FRUTAROM SWITZERLAND LTD;EUROPASTRASSE 15 CH-5734 REINACH SWITZERLAND;;REINACH;Switzerland;Miss Gertrud Eichenberger;;;
36004601-K;MCB MANAGEMENT & CONSULTING;ROUTE DE CLEMENTY 37;;NYON;Switzerland;;;;
36004602-8;Nordmann Switzerland AG;GRUBENSTRASSE 40, 8045 ZURICH SWITZERLAND;;ZURICH;Switzerland;;;;41439608282
36004603-6;Walter Rhyner AG;Binsing 11;;;Switzerland;;;;
36004604-4;Frulact Switzerland AG;Europastrasse 15 / 5734 Reinach;;Reinach;Switzerland;Catherine;;;
36004605-2;NHS Swiss AG;Geerenstr. 11, CH-8604 Volketswil / Switzerland;;Volketswil;Switzerland;Olivier;;;
36004606-0;DKSH Switzerland Ltd.;Wiesenstrasse 8, P.O.Box 888, 8034 Zurich, Switzerland;;8034 Zurich;Switzerland;Alexandra;;;
36004700-8;ASLANKAYA INSAAT ve TIC.LTD.STI. Incilipinar Mh. Nail Bilen Cd.;Camiserif Mah. 5240 Cad. Celebihan Plaza K : 1/12 MERSIN /TURKEY P.O BOX : 33060;;Gaziantep;Turkey;Anwar Ali Al Toyour;;;90 342 3256555
36004701-6;RHODIA KIMYEVI MADDELER LTD. STI.;ISTANBUL TRAKYA SERBEST BOLGE SB FERHATPASA SB MAHALLESI, ACELYA SOK No8 B1. 34540 CATALCA/ISTANBUL;;;Turkey;;;;90.212.7866100
36004702-4;TUNCKAYA KIMYEVI MADD.TIC.VE SAN.LTD.STI;TUZLA ORGANIZE DERI SANAYI BOLGESI,;;TUZLA 34460, ISTANBUL;Turkey;;;;
36004703-2;OZMER PASTA. VE ICE, URUNLERI SAN. PAZ TUR VE DIS TIC A.S;PAZARLAMA TURIZM DE DIS TICARET A.S. SERIFALI MAH. BEYIT SOK. NO: 54 34775 UMRANIYE/ISTAN;;ISTANBUL;Turkey;Aydan Sekerci;;;90  212 786 6100
36004704-0;Ebrizen Ebru Sanati Malzemeleri Sanatsal Organizasyon ve Cerceve Mukaddes Ozpeker;Aksemsettin Mh. Sariguzel Cad. Babnaibi Sk. No. 31a Fatih-Istanbul;;Fatih-Istanbul;Turkey;;;;
36004705-9;SOLVAY ISTANBUL KIMYA TICARET VE SANAYI LIMITED SIRKETI;GiZ 2000 PLAZA K.13 /D. 51  MASLAK 34398  ISTANBUL TURKEY;;ISTANBUL;Turkey;;;;
36004706-7;BEYDA TUKETIM MAFDDELERI URT.;;;;Turkey;;;;
36004707-5;KATSAN GIDA SAN;;;;Turkey;;;;
36004708-3;PST PASTACILIK SAN VE TIC A.S;;;;Turkey;;;;
36004709-1;INPROS KIMYA SAN VE TIC;;;;Turkey;;;;
36004710-5;Mustafa ozkul;Ornek Mh.Dr.Suphi Ezgi Sk. No:1/5 Atasehir, 34704 Istanbul;;Istanbul;Turkey;;;;
36004711-3;PACIFIC ENDUSTRI MAMULLERI ITHALAT IHRACAT;SANAYI VE TICARET LIMITED SIRKETI BAKIRKOY YESILYURT EKIN SOK N°8 UYGUN APT.DAIRE 2;;ISTANBUL;Turkey;Majid;;;
36004712-1;Maysa Gida Sanayi ve Ticaret A.S.;KOSB Melek Aras Bulvari No:54, P. Code 34956 Tuzla;;Tuzla;Turkey;Soner;;;+90 216 581 98 00
36004713-K;EBRIZEN SANAT MALZEMELERI IMALAT VE ORG.LOJ.TIC.SAN.LTD.STI.;Aksemsettin mah.babnaibi SK.NO 31 a;;FATIH;Turkey;Mustafa;;;
36004714-8;BEL-KARPER GIDA SNAYI A.S.;HAKKI YETEN CAD. /   F OFIS BLOK SELENIUM PLAZA. No: 10 KAT 17 34357 FULYA BESIKTAS /ISTANBUL;;ISTANBUL;Turkey;;;;+90 282 685 4379
36004715-6;Baharot A.S.;Köseler Mah. Mermerciler Sanayi Sitesi / 1.Cadde 26.Sokak No:9 41455 Dilovasi, KOCAELI;;Dilovasi;Turkey;Zekai;;;+902625020565
36004716-4;Suntek Gida Ticaret ve Sanayi Limited Sirketi;Barbaros Mah. Al Zambak Sok. Varyap Meridian A Blok No: 2/23 Atasehir/Istanbul;;Istanbul;Turkey;Majid;;0090 216 0939 9218;0090 216 939 9022
36004717-2;BALDI KIMYA SANAYI TICARET ANONIM SIRKETI;TATLISU MAH. ARIF AY SOK. GIRAY APT. N° 38/7 34774 UMRANIYE;;;Turkey;ILHAN;;;00905322759723
36004718-0;MEKAGROUP INSAAT SAN.VE TIC LTD.STI.;LIMANOGLU ISMERKEZI 3/49;;;Turkey;MR.MELIH KADIOGLU;;;5412348195
36004719-9;Koza Sanat Malzemeleri;Sepetlipinar Mah.Arpalik Cad., 118 / 41275 Kocaeli / Turkiye;;Turkiye;Turkey;Mustafa;;;
36004720-2;TECHNOFOOD KIMYA GIDA KATKILARI ITHALAT IHRACAT PAZARLAMA SANAYI VE TICARET LIMITED SIRKETI;Yenisehir Mahallesi Reyhan Cad Tanay Konaklari NO 30/40 Pendik Istanbul 34912;;Istanbul;Turkey;NURDAN;;;
36004721-0;Esefoglu Altin Kirtasiye Ltd. Sti.;Imsan San. Sitesi A Blok no:4, 34307  Kücükcekmece Istanbul;;Istanbul;Turkey;Info;;;
36004800-4;Lactalis SUMY;Rodyny Kryvonosiv str., 27-A, UA-41103 SHOSTKA;;SHOSTKA;Ukraine;Sergey;;;+38 (050) 493 06 15
36005001-7;TECHNIQUE & LOGISTIQUE;DRUJBA STR. 84, BP 145. 720040 BISHKEK;;BISHKEK;Kyrgyzstan;;;;
36005002-5;RG Pharma;1050 Arroyo Avenue, San fernando California;;;USA;Mr. Barry Pressman;;;1 818 837 5880
36005003-3;KG FOOD PARTNER TECHN AB;FLAKVAGEN, STILLERYD. 37493 KARLSHAMN;;KARLSHAMN;Sweden;KENNETH BRORSSON;;;
36005100-5;AIMM Business Trading FZC;Sh. Rashid Bin Saeed Al Maktoum Street. Ajman Free Zone. Gate no: 1, Warehouse: A1-02;;16558 AJMAN;United Arab Emir.;Helene;;;
36005100-5;AIMM Business Trading FZC;Sh. Rashid Bin Saeed Al Maktoum Street. Ajman Free Zone. Gate no: 1, Warehouse: A1-02;;16558 AJMAN;United Arab Emir.;Moustapha;;;
36005101-3;Rettenmaier Benelux C.V.;De Stoven 41E, 7206 AZ Zutphen;;AZ Zutphen;Netherlands;Joost;;;
36005102-1;Chemelco Internationl B.V.;Amsterdamsestraatweg 55A 3744 MA, Baarn;;Baarn;Netherlands;Olga Maria;;;
36500000-K;Cliente de Africa;;;;.;;;;
36500201-0;EURL DOUNGA  IMPORT . EXPORT;ROUTE BOUSMAIL LOTS BELHAOU ANE N 24 KOLEA TIPAZA ALGERIE;;;Algeria;;;;00213 55 0888338
36500203-7;SPA SIPADES Produits Nouara;11 Rue hadji Abdbelaziz, Ain Benian, 16202 Alger, Algeria;;ALGER;Algeria;nouaratr15;;;00213 21 30 1111
36500204-5;SEARL ALMAG;ZONE D´ACTIVITE TAHARACHT,;;;Algeria;;;;00213 34 35 94 43
36500205-3;SPA LAITERIE TREFLE;Zone Industrielle, Site 1 Ben Boulaid. BLIDA;;;Algeria;;;;
36500206-1;SARL DOUNGA Distribution et Importation;ROUTE BOUSMAIL LOT BELHAOUANE N°24 VILLE DE KOLEA WILAYA DE TIPAZA CP42400 ALGERIE;;VILLE DE KOLEA WILAYA DE TIPAZA;Algeria;;;;213 55 0888338
36500207-K;DANONE DJURDJURA ALGERIE SPA;Zone d'Activité Taharacht Akbou Postal Code 06200;;Akbou Willaya;Algeria;Mohamed Djaker;;;025 36 01 76
36500208-8;SARL CELIA ALGERIE;RUE DES FRERES ZEDRI 09240 BENI TAMOU BLIDA ALGER ALGERIA;;ARGEL;Algeria;HENNINOT EUGENE - RATIBA BOUALEM;;;
36500209-6;ASLANKAYA INS. VE TIC LTD. STI;11. NOLU SOK. DULGER IS MRK KATE 3 NO.8 GAZIANTEP;;;Algeria;Orhan Solmaz;;;
36500210-K;SARL RAMY MILK COMPANY;LOT 3 EL BIAR ZONE INDUSTRIEL EL HARRACHE;;ALGER;Algeria;Bessaad Line Naziha;;;
36500211-8;SPA FROMAGERIE BEL ALGERIE;ZONE D'ACTIVITE MAZAFRAN / ROUTE DE BOUFARIK 42400 KOLEA TIPAZA;;KOLEA TIPAZA;Algeria;Helene;;;00 213 (0) 770326661
36500212-6;SARL ABIA FOOD;Village outhelili Ighram Akbou, Béjaia;;Béjaia;Algeria;Belkhattir;;;
36500213-4;SARL Aromatech Algérie Distribution;Baba Ali  Zone dactivité « Oued el Kerma » , Lot N°38  Saoula-16095 - Alger;;Oued el Kerma;Algeria;FATIHA;;;
36500214-2;SARL fromagerie ProCheese;Groupe Propriété N 629, lot 25, Les Dunes Chéraga, Alger;;Les Dunes Chéraga;Algeria;;;;
36500215-0;SARL FADIPLAIT;CITE OULED BRAHIM No 5 ILOT 893, HAMMADI - BOUMERDES, ARGELIA;;HAMMADI - BOUMERDES;Algeria;ALLAILOU Ismail;;;
36500216-9;EURL NUMIDOR;Rue Piton Guendouza 06050 Akbou W. Bejaïa;;Akbou W. Bejaïa;Algeria;Samir;;;
36500301-7;Cway - Confirmar;;;;Nigeria;;;;
36501200-8;International Company for Food Industries;Piece No.74, 1st Industrial Zone, 6th of October City , Giza Egypt;;;Egypt;;;;
36501201-6;NEW AWA;;;;Egypt;;;;
36501202-4;BEL EGYPT EXPANSION;Second Industrial Zone G23 El Nile St.,B2 10th of Ramadan City-Sharkia;;Ramadan;Egypt;Naguib;;;
36501203-2;The Egyptian Co. for Dairy Products & Food Additive (Egydairy);Megawra 10  Bldg. 301 / 302,10Th of Ramadan City, Arab Republic of Egypt;;Ramadan;Egypt;Ahmed;;;20 554361948
36501204-0;DR. BAKER;RAS-ELBAR WEST ROAD / DT 3541144629 DOMYAT;;;Egypt;ABDELRAHMAN;;;
36501205-9;United Brothers for Import & Export  Unibross;386, Azzaim Gamal Abdel-Naser, Alexandria, Egypt;;Alexandria;Egypt;Ahmed;;;
36501206-7;Dreem Mashreq Foods S.A.E;Smouha Industerial Zone, Beside 14th of May Bridge, Alexandria, Egypt;;Alexandria;Egypt;merhan;;;
36501207-5;GOMAA FOR MANUFACTURING ICE-CREAM &FROZEN;10TH OF RAMADAN CITY,3RD INDUSTRIAL AREA, DEPARTMENT 36/3,AL SHARKIA;;Al-Sharqia, Cairo;Egypt;Gomaa;;;
36501208-3;Eva Pharma for Pharmaceuticals & Medical Appliances S.A.E;176 El Sadat Street, Kafr EL Gabal, Pyramids, Giza;;Giza;Egypt;Priskella;;;
36501701-8;Nestle Ghana Limited;Tema Factory North Industrial Area P.O.Box 8530, Tema - Ghana Plot No. 30/2-6;;Tema;Ghana;Linda;;;
36501801-4;Vital  PRODUCTS LLC;PLOT 12, ACME ROAD, OGBA 10001 IKEJA LAGOS;;IKEJA LAGOS;Nigeria;Sanjeev kapoor;;;234 812 7751717 
36502500-2;SOCOLAIT IMMEUBLE DIGITAL;;;;Madagascar;;;;
36502800-1;Fromageries Bel Maroc;ZONE INDUSTRIELLE MOGHOGHA - MOROCCO;;Tanger;Morocco;SOUMAYA EL AMIN;;;212539329400
36502801-K;SOMAFACO;KM 10.500 Route d'Eljadida Lissasfa. Casablanca 20532.;;Casablanca;Morocco;;;;
36502802-8;ISOLAB SARL;Lot N° 30 PARC INDUSTRIEL CFCIM DE BOUSSOUKRA Postal code 27182 BOUSSOUKRA;;;Morocco;;;;
36502803-6;INDUBASE S.A.R.L;ROUTE D´ EL JADIDA KM 10,5 LISSASFA 20532 CASABLANCA MOROCCO;;CASABLANCA;Morocco;;;;05 22 65 09 00
36502804-4;OLAND GROUP;Rte 110, Boulevard Chefchaouani 20160 Casablanca MAROC;;Casablanca;Morocco;Mme Amina;;;+56 9 98171697
36502805-2;A.F.E. DISTRIBUTIONS;RTE 110, Boulevard Chefchaouni, Casablanca;;Casablanca;Morocco;Mme AMINA ALAOUI;;;
36502806-0;AFE DISTRIBUTIONS INTERNATIONAL;RTE 110, Boulevard Chefchaouni, Casablanca;;Casablanca;Morocco;Mme AMINA ALAOUI;;;
36502807-9;SOCIETE IMPORT EXPORT PRODUIT FROMAGER;SIEPF Rue de liban residance lina Tanger Maroc;;Tanger Maroc;Morocco;Soumaya;;;
36502808-7;KEDEX;RUE BANAFSAJ ANGLE BD OMAR KHAYAM RESIDENCE YASMINE IMMEUBLE B BEAUSEJOUR , Casablanca;;Casablanca;Morocco;Anouar;;;
36504100-8;Sen-alim;Mbao, Km 18 route de Rufisque, 11000 Dakar;;Dakar;Senegal;Pierre Jean;;;
36504101-6;Patisen - Confrmar;;;;Senegal;;;;
36504501-1;LAKE INTERNATIONAL TECHNOLOGIES(PTY) LTD;Unit 2, Galaxy Office Park, 17 Galaxy Ave Linbro Business Park;;Sandton 2065;South Africa;;;;27 11 409 5029
36504502-K;Lactalis South Africa (Pty) Ltd;PO Box 11 Bonnievale 6730, South Africa;;Bonnievale;South Africa;Nashaleen;;;
36504503-8;LANCEWOOD CO;11 Ruby Crescent, Tamsui Industria, George, 6530;;Tamsui Industria, George;South Africa;Kieran;;;
36504504-6;Ingrepro (Pty) Ltd;71 SPRINGSIDE ROAD, HILLCREST, KWA-ZULU NATAL, 3610;;KWA-ZULU;South Africa;Madelein;;;
36505001-5;FAWAHA SARL;7, RUE 8002, Appt B4/7, Immeuble Saf-Saf;;;Tunisia;;;;
36505002-3;STE KOUBAA DISTRIBUTION;Rue Elkhaldounia Sahloul III. 4054 Sousse;;Sousse;Tunisia;;;;
36505003-1;STIFAA;06 rue de la fosse , 1001 TUNIS;;1001 TUNIS;Tunisia;OUMAIMA;;;
37000000-K;Cliente de Oceania;;;;.;;;;
37000100-6;SAVANNAH;;;;Australia;;;;
37000101-4;NUTRIMONDE PTY LTD;;;;Australia;;;;
37000102-2;Hawkins Watts Australia Pty Ltd;suite 8, 2 Compark Circuit, Mulgrave, Victoria, 3170;;Mulgrave;Australia;;;;
37000103-0;SCROLLATO PTY LTD;;;;Australia;Juan;;;+61426281439
37000104-9;DKSH Performance Materials Australia Pty Limited;Level 6,80 Dorcas Street Southbank VIC 3006 AUSTRALIA;;Melbourne;Australia;Loren;;;
37000900-7;NUTURA;;;;New Zealand;;;;
37000901-5;CHEMCOLOUR INDUSTRIES (NZ) LTD.;24 POLAND ROAD, WAIRAU VALLEY;;Auckland;New Zealand;JANINE KAVANAGH;;;64 9 4444650
37000902-3;Azelis New Zealand Ltd;24-26 Poland Road, Wairau Valley P O box 100-145 North Shore 0627;;Wairau Valley;New Zealand;Delores;;;
37000903-1;DKSH -Confirmar Budget;;;;New Zealand;;;;
50287110-2;Color Shoes Ltda.;Zenteno 1394-1398;;Santiago;Chile;Carlos Osadey;;;
52002263-5;JAVIER ANABALON V. ING. MAQ. AGRIC. EIRL;Recreo 880 Temuco;;Santiago;Chile;;;045-222227;74956019
53314611-2;SUCESION RICARDO LETELIER PARDO;Fundo Roncadero Km16 Camino a Cato;;CHILLAN;Chile;Felipe Wagemann;;;
52002263-5;JAVIER ANABALON V. ING. MAQ. AGRIC. EIRL;Recreo 880 Temuco;;Santiago;Chile;;;045-222227;74956019
61606900-4;Servicio de Salud Maule - Hospital San Juan de Dios;Chacabuco 211;;;Chile;Belén Briceño M;;;075 2 565900
65000355-1;SOCIEDAD PROTECTORA DE ANIMALES ADAN DE LAGUNITAS;LAGUNITAS KM 2,5;;PUERTO MONTT;Chile;;;;
65000842-1;LIANYUNGANG SHUREN SCIENTIFIC CREATION;6 THE EAST OF ZHONGLU , XINPU;;;Chile;;;;
65072516-6;Centro Regional de Estudios en Alimentos Saludables (CREA);Av. Universidad 330 - Placilla - Sector Curauma;;Valparaiso;Chile;Enrique Caballero;;;
65106714-6;AGRUPACION ANIMALISTA UNIENDO HUELLAS;;;;Chile;CARLA;;;
66001904-9;NOVEIS/EUR;28 rue de Rennes 35137 Pleumeleuc;;Pleumeleuc;France;;;;
70300000-2;FUNDACION CHILE;AV. ANTONIO RABAT SUR N°6165;;VITACURA;Chile;;;;
70417500-0;CORPORACION DE CAPACITACION Y EMPLEO DE  SOFOFA;Agustinas 1357, Piso 11;;Santiago;Chile;;;;
70777500-9;Universidad Arturo Prat;Av. Arturo Prat 2120;;Iquique;Chile;Edison;;;
71171600-9;CORP. DE EDUCACION LA ARAUCANA;URMENETA N° 822;;PUERTO MONTT;Chile;Roberto Kido;;;
71918300-K;Universidad Católica del Maule;Av. San Miguel 3605, Talca.;;Talca;Chile;Sofia;;;
76002937-8;PLANTA DE TRATAMIENTO DE HIDROCARBUROS PTH;Avda Portuaria 1101;;Coronel;Chile;;;;
76003885-7;Australis Mar S.A.;Calle Decher 161, Puerto Varas;;Puerto Montt;Chile;Catalina;;;
76005967-6;MARINE GEL ANTARTIC S.A.;Capitania #75 - Bahía Chilota;;Porvenir;Chile;;;;
76009244-4;Snack adventure;Victor cucuini # 532;;Recoleta;Chile;Omar Williamson;;;2- 6223739
76010327-6;TECNOLOGIA DE PROCESOS LIMITADA;EL LLANO SUBERCASEAUX 3629 OFICINA 901;;SAN MIGUEL;Chile;;;;
76017115-8;Agroindustrial Anaproc S.A.;ruta 5 sur Hijuela Larga, parcela 253-B;;Paine;Chile;;;2-8213440;2-2659443
76017514-5;SUDAMERICA COMERCIAL S.A.;LO RUIZ #5100;;SANTIAGO;Chile;;;;562 5667000
76022873-7;Soindus Comercial Ltda;Germán Ebbinghauss 2969;;Puente Alto;Chile;;;;225679613
76024704-9;JOMASU LTDA;PARCELA Nº4;;Santiago;Chile;;;POR CORREO;76956940
76025478-9;COMPAKTA S.A.;MUÑOZ GAMERO 1040;;RECOLETA;Chile;FERNANDO LAGOS;;;
76025478-9;COMPAKTA S.A.;MUÑOZ GAMERO 1040;;RECOLETA;Chile;ALICIA YARUR;;;
76025478-9;COMPAKTA S.A.;MUÑOZ GAMERO 1040;;RECOLETA;Chile;SARA;;;
76026309-5;INVERSIONES ESTAN LIMITADA;CAMINO LA TAGUA 3632;;LO BARNECHEA;Chile;;;;
76027045-8;OPERACIONES AMBIENTALES LTDA;AV. JORGE ALESSANDRI 17;;Santiago;Chile;;;65-242743;65-319771
76029117-K;SOCIEDAD DE SERVICIOS INTEGRALES LTDA;URMENETA 305, EDIFICIO LOS HEROES, OF. 713;;PUERTO MONTT;Chile;AUGUSTO;;;
76029733-K;COMERCIALIZADORA CRANDON CHILE LTDA;PANAMERICANA NORTE 4001, PUERTO MONTT;;Puerto Montt;Chile;Maria Isabel;;;
76030375-5;INDUSTRIA QUIMICA Y ALIMENTOS EFFOUR'T LTDA;Pasaje Lerida 6461;;La Florida;Chile;José Ugrin;;;7555033
76030375-5;INDUSTRIA QUIMICA Y ALIMENTOS EFFOUR'T LTDA;Pasaje Lerida 6461;;La Florida;Chile;Loreto Mena;;;7555033
76031435-8;CARGOFLEX E.I.R.L.;RIVAS 540;;SAN JOAQUIN;Chile;;;;2-3671373
76032097-8;Synthon Chile Ltda.;El Castaño 145- Valle Grande;;LAMPA;Chile;Manuel Morales;;;24990800
76032122-2;SOCIEDAD AGROLACTEOS DE CHILOE S.A. (Chilolac);Panamericana Sur Km.1107;;Ancud;Chile;Ruth;;;65 2620889
76032122-2;SOCIEDAD AGROLACTEOS DE CHILOE S.A. (Chilolac);Panamericana Sur Km.1107;;Ancud;Chile;Oscar;;;65 2620889
76033993-8;COMERCIAL INGREDIENTES Y ADITIVOS LTDA;Sebastopol 552;;San Miguel;Chile;Johnny;;;225262634
76035301-9;Comercial Oyarzun E.I.R.L;Lagunita Km 6 sitio 73-B;;;Chile;Ana Triviño;;;065 2 267530
76041492-1;Pesquera Fiordo Austral S.A.;Bernardino N°1990 Parque Andrés  - Cardonal;;;Chile;Andres Kukuljan;;;56 65 2267000
76042392-0;IMPORTADORA Y EXPORTADORA PRIMEC LTDA.;Bascuñan Guerrero 2530;;P.Aguirre Cerda;Chile;Sebastian Gehrkue;;;25498638
76042392-0;IMPORTADORA Y EXPORTADORA PRIMEC LTDA.;Bascuñan Guerrero 2530;;P.Aguirre Cerda;Chile;Secretaria Susana Monrroy;;;25498638
76045387-0;COMERCIAL MUNDO CERVECERO Y CIA. LTDA;LOS ALERCES 1999;;NUÑOA;Chile;;;;
76048348-6;EBRO STAFSJO VALVES CHILE LTDA;FLEX CENTER AV. LO BOZA 107;;Santiago;Chile;;;2-739132;2-7391152
76048397-4;Alimentos Alsan Ltda.;12 de Febrero N°168;;;Chile;Bernarda Cortes Torrejon;;;51-2328762
76051396-2;ARENADOS INDUSTRIALES SPA;CONTULMO 1390;;Santiago;Chile;;;65-254200;
76053450-1;SERVICIOS DE INGENIERIA ELECTRICA LTDA;APIASMONTT SITIO 4;;PUERTO MONTT;Chile;OSCAR QUESADA;;;
76053450-1;SERVICIOS DE INGENIERIA ELECTRICA LTDA;APIASMONTT SITIO 4;;PUERTO MONTT;Chile;MERY STREET;;;
76054311-K;SEAWEED EXPORT COMPANY SPA;FACHINAL LOTE 19-D 19;;CHILE CHICO;Chile;ALBERTO LAVANDERO RIOSECO;;;
76054311-K;SEAWEED EXPORT COMPANY SPA;FACHINAL LOTE 19-D 19;;CHILE CHICO;Chile;PABLO AYALA ROLANDO;;;
